Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Vaccines,vaccine_barrier_travel,Percentage of people reporting that difficulty traveling to vaccination site is a barrier to getting the vaccine,V15a|V15b == 'travel to vaccination site' / any response to V15a|V15b,V18a|V18b == 'travel to vaccination site' / any response to V18a|V18b,V15a|V15b,V18a|V18b,2021-05-16,2022-02-19,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_language,Percentage of people reporting that information not in their native language is a barrier to getting the vaccine,V15a|V15b == 'information in native language' / any response to V15a|V15b,V18a|V18b == 'information in native language' / any response to V18a|V18b,V15a|V15b,V18a|V18b,2021-05-16,2022-02-19,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_childcare,Percentage of people reporting lack of childcare is a barrier to getting the vaccine,V15a|V15b == 'lack of childare' / any response to V15a|V15b,V18a|V18b == 'lack of childare' / any response to V18a|V18b,V15a|V15b,V18a|V18b,2021-05-16,2022-02-19,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_time,Percentage of people that report difficulty getting time away from school or work is a barrier to getting the vaccine,V15a|V15b == 'time away from work or school' / any response to V15a|V15b,V18a|V18b == 'time away from work or school' / any response to V18a|V18b,V15a|V15b,V18a|V18b,2021-05-16,2022-02-19,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_type,Percentage of people that report type of vaccine available is a barrier to getting the vaccine,V15a|V15b == 'type of vaccine' / any response to V15a|V15b,V18a|V18b == 'type of vaccine' / any response to V18a|V18b,V15a|V15b,V18a|V18b,2021-05-16,2022-02-19,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_none,"Percentage of people that report ""none of the above"" as their barrier to getting the vaccine",V15a|V15b == 'none of the above' / any response to V15a|V15b,V18a|V18b == 'none of the above' / any response to V18a|V18b,V15a|V15b,V18a|V18b,2021-05-16,2022-02-19,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_eligible_has,Percentage of people reporting eligibilty requirements is a barrier to getting the vaccine,V15a == 'eligibility requirements' / any response to V15a,V18a == 'eligibility requirements' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_no_appointments_has,Percentage of people reporting no appointments available is a barrier to getting the vaccine,V15a == 'no appointments' / any response to V15a,V18a == 'no appointments' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_appointment_time_has,Percentage of people reporting that available appointment times did not work for them is a barrier to getting the vaccine,V15a == 'available appointment times' / any response to V15a,V18a == 'available appointment times' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_technical_difficulties_has,Percentage of people reporting that technical difficulties are a barrier to getting the vaccine,V15a == 'technical difficulties' / any response to V15a,V18a == 'technical difficulties' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_document_has,Percentage of people reporting that inability to provide required document is a barrier to getting the vaccine,V15a == 'required document' / any response to V15a,V18a == 'required document' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_technology_access_has,Percentage of people reporting that limited access to internet or phone is a barrier to getting the vaccine,V15a == 'access to internet and phone' / any response to V15a,V18a == 'access to internet and phone' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_travel_has,Percentage of people reporting that difficulty traveling to vaccination site is a barrier to getting the vaccine,V15a == 'travel to vaccination site' / any response to V15a,V18a == 'travel to vaccination site' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_language_has,Percentage of people reporting that information not in their native language is a barrier to getting the vaccine,V15a == 'information in native language' / any response to V15a,V18a == 'information in native language' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_childcare_has,Percentage of people reporting lack of childcare is a barrier to getting the vaccine,V15a == 'lack of childare' / any response to V15a,V18a == 'lack of childare' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_time_has,Percentage of people that report difficulty getting time away from school or work is a barrier to getting the vaccine,V15a == 'time away from work or school' / any response to V15a,V18a == 'time away from work or school' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_type_has,Percentage of people that report type of vaccine available is a barrier to getting the vaccine,V15a == 'type of vaccine' / any response to V15a,V18a == 'type of vaccine' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_none_has,"Percentage of people that report ""none of the above"" as their barrier to getting the vaccine",V15a == 'none of the above' / any response to V15a,V18a == 'none of the above' / any response to V18a,V15a,V18a,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Vaccines,vaccine_barrier_eligible_tried,Percentage of people reporting eligibilty requirements is a barrier to getting the vaccine,V15b == 'eligibility requirements' / any response to V15b,V18b == 'eligibility requirements' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_no_appointments_tried,Percentage of people reporting no appointments available is a barrier to getting the vaccine,V15b == 'no appointments' / any response to V15b,V18b == 'no appointments' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_appointment_time_tried,Percentage of people reporting that available appointment times did not work for them is a barrier to getting the vaccine,V15b == 'available appointment times' / any response to V15b,V18b == 'available appointment times' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_technical_difficulties_tried,Percentage of people reporting that technical difficulties are a barrier to getting the vaccine,V15b == 'technical difficulties' / any response to V15b,V18b == 'technical difficulties' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_document_tried,Percentage of people reporting that inability to provide required document is a barrier to getting the vaccine,V15b == 'required document' / any response to V15b,V18b == 'required document' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_technology_access_tried,Percentage of people reporting that limited access to internet or phone is a barrier to getting the vaccine,V15b == 'access to internet and phone' / any response to V15b,V18b == 'access to internet and phone' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_travel_tried,Percentage of people reporting that difficulty traveling to vaccination site is a barrier to getting the vaccine,V15b == 'travel to vaccination site' / any response to V15b,V18b == 'travel to vaccination site' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_language_tried,Percentage of people reporting that information not in their native language is a barrier to getting the vaccine,V15b == 'information in native language' / any response to V15b,V18b == 'information in native language' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_childcare_tried,Percentage of people reporting lack of childcare is a barrier to getting the vaccine,V15b == 'lack of childare' / any response to V15b,V18b == 'lack of childare' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_time_tried,Percentage of people that report difficulty getting time away from school or work is a barrier to getting the vaccine,V15b == 'time away from work or school' / any response to V15b,V18b == 'time away from work or school' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_type_tried,Percentage of people that report type of vaccine available is a barrier to getting the vaccine,V15b == 'type of vaccine' / any response to V15b,V18b == 'type of vaccine' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_barrier_none_tried,"Percentage of people that report ""none of the above"" as their barrier to getting the vaccine",V15b == 'none of the above' / any response to V15b,V18b == 'none of the above' / any response to V18b,V15b,V18b,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_timing_weeks,Percentage of people reporting they will try to get the vaccine within a week or two,V16 == 'within a week or two' / any response to V16,V19 == 'within a week or two' / any response to V19,V16,V19,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_timing_onemonth,Percentage of people reporting they will try to get the vaccine within a month,V16 == 'within a month' / any response to V16,V19 == 'within a month' / any response to V19,V16,V19,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_timing_threemonths,Percentage of people reporting they will try to get the vaccine within three months,V16 == 'within three months' / any response to V16,V19 == 'within three months' / any response to V19,V16,V19,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_timing_sixmonths,Percentage of people reporting they will try to get the vaccine within six months,V16 == 'within six months' / any response to V16,V19 == 'within six months' / any response to V19,V16,V19,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_timing_morethansix,Percentage of people reporting they will try to get the vaccine in more than six months,V16 == 'more than six months' / any response to V16,V19 == 'more than six months' / any response to V19,V16,V19,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccine_timing_dontknow,Percentage of people reporting that they don't know when they will get the vaccine,V16 == 'I don't know' / any response to V16,V19 == 'I don't know' / any response to V19,V16,V19,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,worried_catch_covid,Percentage of people worrying either a great deal or a moderate amount about catching COVID-19,(G1 == 'A great deal' | G1 == 'A moderate amount') / any response to G1,(G1 == 'A great deal' | G1 == 'A moderate amount') / any response to G1,C9,G1,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,belief_distancing_effective,Percentage of people who believe social distancing is either very or moderately effective for preventing the spread of COVID-19,(G2 == 'Very effective' | G2 == 'Moderately effective') / any response to G2,(G2 == 'Very effective' | G2 == 'Moderately effective') / any response to G2,G2,G2,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,belief_masking_effective,Percentage of people who believe that wearing a face mask is very or moderately effective for preventing the spread of COVID-19,(G3 == 'Very effective' | G3 == 'Moderately effective') / any response to G3,(G3 == 'Very effective' | G3 == 'Moderately effective') / any response to G3,G3,G3,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,others_distanced_public,Percentage of people who reported that all or most people they saw in public in the last 7 days maintained a distance of at least [1 meter / 6 feet],(H1 == 'Most people' | H1 == 'All of the people') / (H1 != 'I have not been in public during the past 7 days'),(H1 == 'Most people' | H1 == 'All of the people') / (H1 != 'I have not been in public during the past 7 days'),H1,H1,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,others_distanced_public_alt,"Percentage of people who reported that all, most, or some people they saw in public in the last 7 days maintained a distance of at least [1 meter / 6 feet]",(H1 == 'Some people' | H1 == 'Most people' | H1 == 'All of the people') / (H1 != 'I have not been in public during the past 7 days'),NA,H1,NA,2021-05-16,2022-06-25,NA,NA
Module A,others_masked_public,Percentage of people who reported that all or most people they saw in public in the last 7 days wore a mask,(H2 == 'Most people' | H2 == 'All of the people') / (H2 != 'I have not been in public during the past 7 days),(H2 == 'Most people' | H2 == 'All of the people') / (H2 != 'I have not been in public during the past 7 days),H2,H2,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,others_masked_public_alt,"Alternative indicator for percentage of respondents reporting others are masked in public, includes respondents that report that ""all of the people,"" ""most of the people,"" or ""some of the people"" are masked in public.",(H2 == 'Most people' | H2 == 'All of the people' | H2 == ‘Some’) / (H2 != 'I have not been in public during the past 7 days),(H2 == 'Most people' | H2 == 'All of the people' | H2 == ‘Some’) / (H2 != 'I have not been in public during the past 7 days),H2,H2,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,covid_vaccinated_friends,Percentage of people who reported that all or most of their friends and family have gotten a COVID-19 vaccine,(H3 == 'All of the people' | H3 == 'Most people') / any response to H3,(H3 == 'All of the people' | H3 == 'Most people') / any response to H3,H3,H3,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,belief_vaccinated_mask_unnecessary,"Percentage of people who indicate that ""Getting the COVID-19 vaccine means that you can stop wearing a mask around people outside your household."" is definitely or probably true",(I1 == 'Definitely true' | I1 == 'Probably true') / any response to I1,(I1 == 'Definitely true' | I1 == 'Probably true') / any response to I1,I1,I1,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Module A,belief_children_immune,"Percentage of people who indicate that ""Children cannot get COVID-19"" is definitely or probably true.",(I2 == 'Definitely true' | I2 == 'Probably true') / any response to I2,(I2 == 'Definitely true' | I2 == 'Probably true') / any response to I2,I2,I2,2021-05-16,2022-02-19,2021-05-16,2022-02-19
Module A,belief_created_small_group,"Percentage of people who indicate that ""COVID-19 was deliberately created by a small group of people who secretly manipulate world events"" is definitely or probably true",(I3 == 'Definitely true' | I3 == 'Probably true') / any response to I3,NA,I3,NA,2021-05-16,2022-06-25,NA,NA
Module A,belief_govt_exploitation,"Percentage of people who indicate that ""The COVID-19 pandemic is being exploited by the government to control people"" is definitely or probably true",(I4 == 'Definitely true' | I4 == 'Probably true') / any response to I4,NA,I4,NA,2021-05-16,2022-06-25,NA,NA
Module A,belief_no_spread_hot_humid,"Percentage of people who indicate that ""COVID-19 cannot spread in hot and humid climates"" definitely or probably true",NA,(I8 == 'Definitely true' | I8 == 'Probably true') / any response to I8,NA,I8,NA,NA,2021-05-16,2022-02-19
Module A,news_online,Percentage of people who got news about COVID-19 in the last 7 days from online sources,NA,I9_noneu == 'online sources' / any response to I9_noneu,NA,I9_noneu,NA,NA,2021-05-16,2022-02-19
Module A,news_messaging,Percentage of people who got news about COVID-19 in the last 7 days from messaging apps,NA,I9_noneu == 'messaging apps' / any response to I9_noneu,NA,I9_noneu,NA,NA,2021-05-16,2022-02-19
Module A,news_newspaper,Percentage of people who got news about COVID-19 in the last 7 days from newspapers,NA,I9_noneu == 'newspapers' / any response to I9_noneu,NA,I9_noneu,NA,NA,2021-05-16,2022-02-19
Module A,news_television,Percentage of people who got news about COVID-19 in the last 7 days from television,NA,I9_noneu == 'television' / any response to I9_noneu,NA,I9_noneu,NA,NA,2021-05-16,2022-02-19
Module A,news_radio,Percentage of people who got news about COVID-19 in the last 7 days from radio,NA,I9_noneu == 'radio' / any response to I9_noneu,NA,I9_noneu,NA,NA,2021-05-16,2022-02-19
Module A,news_none,"Percentage of people who got news about COVID-19 in the last 7 days from ""none of the above""",NA,I9_noneu == 'none of the above' / any response I9_noneu,NA,I9_noneu,NA,NA,2021-05-16,2022-02-19
Module A,trust_news_online,Percentage of people who report trusting online sources to provide accurate news and information about COVID-19,NA,"I10_noneu_1 == ""trust"" / any response to I10_noneu_1",NA,I10_noneu_1,NA,NA,2021-05-16,2022-02-19
Module A,trust_news_messaging,Percentage of people who report trusting messaging apps to provide accurate news and information about COVID-19,NA,"I10_noneu_2 == ""trust"" / any response to I10_noneu_2",NA,I10_noneu_2,NA,NA,2021-05-16,2022-02-19
Module A,trust_news_newspaper,Percentage of people who report trusting newspapers to provide accurate news and information about COVID-19,NA,"I10_noneu_3 == ""trust"" / any response to I10_noneu_3",NA,I10_noneu_3,NA,NA,2021-05-16,2022-02-19
Module A,trust_news_television,Percentage of people who report trusting television to provide accurate news and information about COVID-19,NA,"I10_noneu_4 == ""trust"" / any response to I10_noneu_4",NA,I10_noneu_4,NA,NA,2021-05-16,2022-02-19
Module A,trust_news_radio,Percentage of people who report trusting radio to provide accurate news and information about COVID-19,NA,I10_noneu_5 == 3 / any response to I10_noneu_5,NA,I10_noneu_5,NA,NA,2021-05-16,2022-02-19
Module A,want_info_covid_treatment,Percentage of people who say they want more information about the treatment of COVID-19,I7 == 'treatment of COVID-19' / any response to I7,I7 == 'treatment of COVID-19' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_vaccine_access,Percentage of people who say they want more information about how to get a COVID-19 vaccine,I7 == 'how to get vaccine' / any response to I7,I7 == 'how to get vaccine' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_vaccine_types,Percentage of people who say they want more information about different types of COVID-19 vaccines,I7 == 'different types of vaccines' / any response to I7,I7 == 'different types of vaccines' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_covid_variants,Percentage of people who say they want more information about variants of COVID-19 (also known as coronavirus mutations),I7 == 'variants of COVID-19' / any response to I7,I7 == 'variants of COVID-19' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_children_education,Percentage of people who say they want more information about how to support their children's education,I7 == 'support children's education' / any response to I7,I7 == 'support children's education' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_economic_impact,Percentage of people who say they want more information about the economic impact of COVID-19 to themselves personally,NA,I7 == 'economic impact to me personally' / any response to I7,NA,I7,NA,NA,2021-05-16,2022-06-25
Module A,want_info_mental_health,Percentage of people who say they want more information about how to maintain their mental health,I7 == 'maintain mental health' / any response to I7,I7 == 'maintain mental health' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_relationships,Percentage of people who say they want more information about how to maintain their social relationships despite physical distancing,I7 == 'maintain social relationships' / any response to I7,I7 == 'maintain social relationships' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_employment,Percentage of people who say they want more information about employment and other economic and financial issues,I7 == 'employment or other economic or financial issues' / any response to I7,I7 == 'employment or other economic or financial issues' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,want_info_none,"Percentage of people reporting that they want more information about ""None of the above""",I7 == 'none of the above' / any response to I7,I7 == 'none of the above' / any response to I7,I7,I7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_local_health,"Percentage of respondents reporting having received news about COVID-19 in the past 7 days from local health workers, clinics, and community organizations","I5 == 'Local health workers, clinics, and community organizations' / any response to I5","I5 == 'Local health workers, clinics, and community organizations' / any response to I5",I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_experts,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from scientists and other health experts,I5 == 'Scientists and other health experts' / any response to I5,I5 == 'Scientists and other health experts' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_who,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from the World Health Organization (WHO),NA,I5 == 'World Health Organization (WHO)' / any response to I5,NA,I5,NA,NA,2021-05-16,2022-06-25
Module A,received_news_cdc,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from the US Centers for Disease Control (CDC),I5 == 'Centers for Disease Control (CDC)' / any response to I5,NA,I5,I5,2021-05-16,2022-06-25,NA,NA
Module A,received_news_govt_health,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from government health authorities or officials,I5 == 'Government health authorities or officials' / any response to I5,I5 == 'Government health authorities or officials' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_politicians,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from politicians,I5 == 'Politicians' / any response to I5,I5 == 'Politicians' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_journalists,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from journalists,I5 == 'Journalists' / any response to I5,I5 == 'Journalists' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_friends,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from friends and family,I5 == 'Friends and family' / any response to I5,I5 == 'Friends and family' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_religious,Percentage of respondents reporting having received news about COVID-19 in the past 7 days from religious leaders,I5 == 'Religious leaders' / any response to I5,I5 == 'Religious leaders' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Module A,received_news_none,"Percentage of respondents reporting having received news about COVID-19 in the past 7 days from ""None of the above.""",I5 == 'None of the above' / any response to I5,I5 == 'None of the above' / any response to I5,I5,I5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Heathcare,delayed_care_cost,Percentage of respondents who have not sought medical care in the past year because of cost,K1 == 'Yes' / any response to K1,K1 == 'Yes' / any response to K1,K1,K1,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Heathcare,race_treated_fairly_healthcare,"Percentage of respondents who somewhat or strongly agree that ""People of my race are treated fairly in a healthcare setting.""",(K2 == 'strongly agree' | K2 == 'somewhat agree') / any response to K2,NA,K2,NA,2021-05-16,2022-06-25,NA,NA
Vaccines,vaccinate_children,Percentage of respondents with children who report that they will definitely or probably get the vaccine for their children.,"(E4 == 'Yes, definitely' | E4 == 'Yes, probably') / (E4 != 'I don't have children')","(J2 == 'Yes, definitely' OR J2 == 'Yes, probably') / (J2 != 'I don't have children')",E4,J2,2021-05-16,2021-12-25,2021-05-16,2021-12-25
Symptoms,symp_fever,Percentage of respondents that report having a fever in the past 24 hours.,B2 == 'fever' / any response to B2,B1_1 == 'yes' / any response to B1,B2,B1_1,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_cough,Percentage of respondents that report having a cough in the past 24 hours,B2 == 'cough' / any response to B2,B1_2 == 'yes' / any response to B1,B2,B1_2,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_diff_breathing,Percentage of respondents that report having difficulty breathing in the past 24 hours,B2 == 'difficulty breathing' / any response to B2,B1_3 == 'yes' / any response to B1,B2,B1_3,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_fatigue,Percentage of respondents that report having fatigue in the past 24 hours,B2 == 'tiredness or exhaustion' / any response to B2,B1_4 == 'yes' / any response to B1,B2,B1_4,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_stuffy_nose,Percentage of respondents that report having a stuffy or runny nose in the past 24 hours,B2 == 'stuffy or runny nose' / any response to B2,B1_5 == 'yes' / any response to B1,B2,B1_5,2021-05-16,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_aches,Percentage of respondents that report having aches or muscle pain in the past 24 hours,B2 == 'muscle or joint aches' / any response to B2,B1_6 == 'yes' / any response to B1,B2,B1_6,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_sore_throat,Percentage of respondents that report having a sore throat in the past 24 hours,B2 == 'sore throat' / any response to B2,B1_7 == 'yes' / any response to B1,B2,B1_7,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_chest_pain,Percentage of respondents that report having chest pain in the past 24 hours,B2 == 'persistent pain or pressure in your chest' / any response to B2,B1_8 == 'yes' / any response to B1,B2,B1_8,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_nausea,Percentage of respondents that report having nausea in the past 24 hours,B2 == 'nausea or vomiting' / any response to B2,B1_9 == 'yes' / any response to B1,B2,B1_9,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,"symp_anosmia [US]
symp_loss_smell_taste [GLOBAL]",Percentage of respondents that report having loss of smell or taste in the past 24 hours. ,B2 == 'loss of smell or taste' / any response to B2,B1_10 == 'yes' / any response to B1,B2,B1_10,2020-04-05,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_eye_pain,Percentage of respondents that report having eye pain in the past 24 hours,B2 == 'eye pain' / any response to B2,B1_11 == 'yes' / any response to B1,B2,B1_11,2020-05-17,2021-08-07,2020-04-26,2021-09-04
Symptoms,symp_headache,Percentage of respondents that report having a headache in the past 24 hours,B2 == 'headaches' / any response to B2,B1_12 == 'yes' / any response to B1,B2,B1_12,2020-11-22,2022-06-25,2020-04-26,2022-06-25
Symptoms,symp_chills,Percentage of respondents that report having chills in the past 24 hours,B2 == 'chills' / any response to B2,B1_13 == 'yes' / any response to B1,B2,B1_13,2020-09-06,2022-06-25,2020-05-03,2022-06-25
Symptoms,symp_sleep_changes,Percentage of respondents that report having sleep changes in the past 24 hours,B2 == 'changes in sleep' / any response to B2,B1_14 == 'yes' / any response to B1,B2,B1_14,2020-11-22,2021-08-07,2020-11-22,2021-09-04
Symptoms,symp_other,Percentage of respondents that report having other symptoms in the past 24 hours,B2 == 'other' / any response to B2,NA,B2,NA,2020-04-05,2022-06-25,NA,NA
Symptoms,symp_none,Percentage of respondents that report having no symptoms in the past 24 hours,B2 == 'none of the above' / any response to B2,NA,B2,NA,2020-04-05,2022-06-25,NA,NA
Symptoms,symp_shortness_breath,Percentage of respondents that report having shortness of breath in the past 24 hours,B2 == 'shortness of breath' / any response to B2,NA,B2,NA,2020-04-05,2022-06-25,NA,NA
Symptoms,symp_nasal_congestion,Percentage of respondents that report having nasal congestion in the past 24 hours,B2 == 'nasal congestion' / any response to B2,NA,B2,NA,2020-04-05,2021-08-07,NA,NA
Symptoms,symp_runny_nose,Percentage of respondents that report having a runny nose in the past 24 hours,B2 == 'runny nose' / any response to B2,NA,B2,NA,2020-04-05,2021-08-07,NA,NA
Symptoms,symp_diarrhea,Percentage of respondents that report having diarrhea in the past 24 hours,B2 == 'diarrhea' / any response to B2,NA,B2,NA,2020-04-05,2022-06-25,NA,NA
Symptoms,"symp_unusual_given_fever [US]
symp_fever_unusual [GLOBAL]",Percentage of respondents reporting their fever is new or unusal out of all respondents reporting fever,B2c == 'fever' / B2 == 'fever',B1b_x1 == 'yes' / B1_1 == 'yes',"B2c, B2",B1b_x1,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_cough [US]
symp_cough_unusual [GLOBAL]",Percentage of respondents reporting their cough is new or unusal out of all respondents reporting cough,B2c == 'cough' / B2 == 'cough',B1b_x2 == 'yes' / B1_2 == 'yes',"B2c, B2",B1b_x2,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_diff_breathing [US]
symp_diff_breathing_unusual [GLOBAL]",Percentage of respondents reporting their difficulty breathing is new or unusal out of all respondents reporting difficulty breathing,B2c == 'difficulty breathing' / B2 == 'difficulty breathing',B1b_x3 == 'yes' / B1_3 == 'yes',"B2c, B2",B1b_x3,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_fatigue [US]
symp_fatigue_unusual [GLOBAL]",Percentage of respondents reporting their fatigue is new or unusal out of all respondents reporting fatigue,B2c == 'tiredness or exhaustion' / B2 == 'tiredness or exhaustion',B1b_x4 == 'yes' / B1_4 == 'yes',"B2c, B2",B1b_x4,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_stuffy_nose [US]
symp_stuffy_nose_unusual [GLOBAL]",Percentage of respondents reporting their stuffy or runny nose is new or unusal out of all respondents reporting stuffy or runny nose,B2c == 'stuffy or runny nose' / B2 == 'stuffy or runny nose',B1b_x5 == 'yes' / B1_5 == 'yes',"B2c, B2",B1b_x5,2021-05-16,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_aches [US]
symp_aches_unusual [GLOBAL]",Percentage of respondents reporting their aches or muscle pain is new or unusal out of all respondents reporting aches or muscle pain,B2c == 'muscle or joint aches' / B2 == 'muscle or joint aches',B1b_x6 == 'yes' / B1_6 == 'yes',"B2c, B2",B1b_x6,2020-09-06,2022-06-25,2020-06-21,2022-06-25
Symptoms,"symp_unusual_given_sore_throat [US]
symp_sore_throat_unusual [GLOBAL]",Percentage of respondents reporting their sore throat is new or unusal out of all respondents reporting sore throat,B2c == 'sore throat' / B2 == 'sore throat',B1b_x7 == 'yes' / B1_7 == 'yes',"B2c, B2",B1b_x7,2020-09-06,2022-06-25,2020-06-21,2022-06-25
